size,threads,run,seconds,mbps,exit_code,stalls
1MB,1,1,2.324125214,.43,0,0
0
1MB,1,2,2.321182362,.43,0,0
0
1MB,1,3,2.321245759,.43,0,0
0
1MB,1,4,23.018367577,.04,0,1
1MB,1,5,2.321128329,.43,0,0
0
1MB,1,6,2.321514356,.43,0,0
0
1MB,1,7,2.321136071,.43,0,0
0
1MB,1,8,2.321681201,.43,0,0
0
1MB,4,1,2.322164704,.43,0,0
0
1MB,4,2,2.822324471,.35,0,0
0
1MB,4,3,2.321013399,.43,0,0
0
1MB,4,4,2.321206019,.43,0,0
0
1MB,4,5,2.323012294,.43,0,0
0
1MB,4,6,2.325358727,.43,0,0
0
1MB,4,7,2.523390620,.39,0,0
0
1MB,4,8,4.022689583,.24,0,0
0
1MB,8,1,2.521377915,.39,0,0
0
1MB,8,2,2.520683692,.39,0,0
0
1MB,8,3,2.323138096,.43,0,0
0
1MB,8,4,2.422347806,.41,0,0
0
1MB,8,5,2.323952221,.43,0,0
0
1MB,8,6,2.322787482,.43,0,0
0
1MB,8,7,2.323326949,.43,0,0
0
1MB,8,8,2.323347896,.43,0,0
0
1MB,16,1,2.322259840,.43,0,0
0
1MB,16,2,2.322393121,.43,0,0
0
1MB,16,3,2.321016016,.43,0,0
0
1MB,16,4,2.322568246,.43,0,0
0
1MB,16,5,2.321040688,.43,0,0
0
1MB,16,6,2.321898993,.43,0,0
0
1MB,16,7,2.321185265,.43,0,0
0
1MB,16,8,2.320314778,.43,0,0
0
1MB,32,1,4.929716222,.20,0,0
0
1MB,32,2,3.124449122,.32,0,0
0
1MB,32,3,2.519841369,.39,0,0
0
1MB,32,4,2.625274930,.38,0,0
0
1MB,32,5,3.029336516,.33,0,0
0
1MB,32,6,3.532306207,.28,0,0
0
1MB,32,7,2.423877142,.41,0,0
0
1MB,32,8,2.322090315,.43,0,0
0
1MB,64,1,2.518963280,.39,0,0
0
1MB,64,2,2.420922665,.41,0,0
0
1MB,64,3,3.526138085,.28,0,0
0
1MB,64,4,2.419743108,.41,0,0
0
1MB,64,5,2.320746112,.43,0,0
0
1MB,64,6,2.320513768,.43,0,0
0
1MB,64,7,7.343186754,.13,0,0
0
1MB,64,8,2.327354598,.42,0,0
0
10MB,1,1,5.323457478,1.87,0,0
0
10MB,1,2,4.824240993,2.07,0,0
0
10MB,1,3,4.825210101,2.07,0,0
0
10MB,1,4,5.827649971,1.71,0,0
0
10MB,1,5,4.322784630,2.31,0,0
0
10MB,1,6,4.424301551,2.26,0,0
0
10MB,1,7,4.922079391,2.03,0,0
0
10MB,1,8,5.927597618,1.68,0,0
0
10MB,4,1,13.662625830,.73,0,0
0
10MB,4,2,6.027853793,1.65,0,0
0
10MB,4,3,5.326278491,1.87,0,0
0
10MB,4,4,47.033972563,.21,0,0
0
10MB,4,5,8.832284756,1.13,0,0
0
10MB,4,6,5.829223408,1.71,0,0
0
10MB,4,7,28.030483454,.35,0,1
10MB,4,8,7.830971618,1.27,0,0
0
10MB,8,1,5.326149796,1.87,0,0
0
10MB,8,2,4.826568410,2.07,0,0
0
10MB,8,3,5.829478273,1.71,0,0
0
10MB,8,4,4.824662610,2.07,0,0
0
10MB,8,5,4.825399196,2.07,0,0
0
10MB,8,6,5.827424657,1.71,0,0
0
10MB,8,7,38.378854570,.26,0,0
0
10MB,8,8,6.426709837,1.55,0,0
0
10MB,16,1,5.832176597,1.71,0,0
0
10MB,16,2,37.283506436,.26,0,1
10MB,16,3,4.923935070,2.03,0,0
0
10MB,16,4,4.823842503,2.07,0,0
0
10MB,16,5,56.376598173,.17,0,0
0
10MB,16,6,4.925654094,2.03,0,0
0
10MB,16,7,4.327817968,2.31,0,0
0
10MB,16,8,39.068063313,.25,0,0
0
10MB,32,1,4.825118122,2.07,0,0
0
10MB,32,2,4.823836167,2.07,0,0
0
10MB,32,3,4.821614044,2.07,0,0
0
10MB,32,4,4.823720059,2.07,0,0
0
10MB,32,5,4.324487709,2.31,0,0
0
10MB,32,6,4.322472085,2.31,0,0
0
10MB,32,7,4.322059268,2.31,0,0
0
10MB,32,8,5.827509591,1.71,0,0
0
10MB,64,1,6.127131904,1.63,0,0
0
10MB,64,2,5.426371527,1.84,0,0
0
10MB,64,3,4.824524235,2.07,0,0
0
10MB,64,4,4.323039943,2.31,0,0
0
10MB,64,5,4.322516767,2.31,0,0
0
10MB,64,6,35.821155193,.27,0,0
0
10MB,64,7,5.326974180,1.87,0,0
0
10MB,64,8,5.326994922,1.87,0,0
0
50MB,1,1,16.342238384,3.05,0,0
0
50MB,1,2,15.336723335,3.26,0,0
0
50MB,1,3,16.341503089,3.05,0,0
0
50MB,1,4,17.343964913,2.88,0,0
0
50MB,1,5,17.340642131,2.88,0,0
0
50MB,1,6,14.836406628,3.37,0,0
0
50MB,4,1,18.448840193,2.71,0,0
0
50MB,4,2,15.340533831,3.25,0,0
0
50MB,4,3,15.839851195,3.15,0,0
0
50MB,4,4,15.839650162,3.15,0,0
0
50MB,4,5,16.838625749,2.96,0,0
0
